Autauga County,autauga-county-al,1396,Alabama,01001,55601
Baldwin County,baldwin-county-al,1396,Alabama,01003,218022
Barbour County,barbour-county-al,1396,Alabama,01005,24881
Bibb County,bibb-county-al,1396,Alabama,01007,22400
Blount County,blount-county-al,1396,Alabama,01009,57840
Bullock County,bullock-county-al,1396,Alabama,01011,10138
Butler County,butler-county-al,1396,Alabama,01013,19680
Calhoun County,calhoun-county-al,1396,Alabama,01015,114277
Chambers County,chambers-county-al,1396,Alabama,01017,33615
Cherokee County,cherokee-county-al,1396,Alabama,01019,26032
Chilton County,chilton-county-al,1396,Alabama,01021,44153
Choctaw County,choctaw-county-al,1396,Alabama,01023,12841
Clarke County,clarke-county-al,1396,Alabama,01025,23920
Clay County,clay-county-al,1396,Alabama,01027,13275
Cleburne County,cleburne-county-al,1396,Alabama,01029,14987
Coffee County,coffee-county-al,1396,Alabama,01031,51909
Colbert County,colbert-county-al,1396,Alabama,01033,54762
Conecuh County,conecuh-county-al,1396,Alabama,01035,12277
Coosa County,coosa-county-al,1396,Alabama,01037,10715
Covington County,covington-county-al,1396,Alabama,01039,36986
Crenshaw County,crenshaw-county-al,1396,Alabama,01041,13824
Cullman County,cullman-county-al,1396,Alabama,01043,83442
Dale County,dale-county-al,1396,Alabama,01045,48956
Dallas County,dallas-county-al,1396,Alabama,01047,38310
DeKalb County,dekalb-county-al,1396,Alabama,01049,71385
Elmore County,elmore-county-al,1396,Alabama,01051,81887
Escambia County,escambia-county-al,1396,Alabama,01053,36748
Etowah County,etowah-county-al,1396,Alabama,01055,102501
Fayette County,fayette-county-al,1396,Alabama,01057,16433
Franklin County,franklin-county-al,1396,Alabama,01059,31363
Geneva County,geneva-county-al,1396,Alabama,01061,26314
Greene County,greene-county-al,1396,Alabama,01063,8233
Hale County,hale-county-al,1396,Alabama,01065,14726
Henry County,henry-county-al,1396,Alabama,01067,17209
Houston County,houston-county-al,1396,Alabama,01069,104722
Jackson County,jackson-county-al,1396,Alabama,01071,51736
Jefferson County,jefferson-county-al,1396,Alabama,01073,659300
Lamar County,lamar-county-al,1396,Alabama,01075,13844
Lauderdale County,lauderdale-county-al,1396,Alabama,01077,92387
Lawrence County,lawrence-county-al,1396,Alabama,01079,32957
Lee County,lee-county-al,1396,Alabama,01081,163941
Limestone County,limestone-county-al,1396,Alabama,01083,96174
Lowndes County,lowndes-county-al,1396,Alabama,01085,9974
Macon County,macon-county-al,1396,Alabama,01087,18439
Madison County,madison-county-al,1396,Alabama,01089,366519
Marengo County,marengo-county-al,1396,Alabama,01091,19066
Marion County,marion-county-al,1396,Alabama,01093,29763
Marshall County,marshall-county-al,1396,Alabama,01095,96109
Mobile County,mobile-county-al,1396,Alabama,01097,413757
Monroe County,monroe-county-al,1396,Alabama,01099,21067
Montgomery County,montgomery-county-al,1396,Alabama,01101,225763
Morgan County,morgan-county-al,1396,Alabama,01103,119089
Perry County,perry-county-al,1396,Alabama,01105,9140
Pickens County,pickens-county-al,1396,Alabama,01107,19938
Pike County,pike-county-al,1396,Alabama,01109,33338
Randolph County,randolph-county-al,1396,Alabama,01111,22725
Russell County,russell-county-al,1396,Alabama,01113,57781
St. Clair County,st-clair-county-al,1396,Alabama,01115,88690
Shelby County,shelby-county-al,1396,Alabama,01117,215707
Sumter County,sumter-county-al,1396,Alabama,01119,12691
Talladega County,talladega-county-al,1396,Alabama,01121,79828
Tallapoosa County,tallapoosa-county-al,1396,Alabama,01123,40497
Tuscaloosa County,tuscaloosa-county-al,1396,Alabama,01125,208911
Walker County,walker-county-al,1396,Alabama,01127,63711
Washington County,washington-county-al,1396,Alabama,01129,16378
Wilcox County,wilcox-county-al,1396,Alabama,01131,10627
Winston County,winston-county-al,1396,Alabama,01133,23660
Aleutians East Borough,aleutians-east-borough-ak,1397,Alaska,02013,3515
Aleutians West Census Area,aleutians-west-census-area-ak,1397,Alaska,02016,5723
Anchorage Municipality,anchorage-municipality-ak,1397,Alaska,02020,291538
Bethel Census Area,bethel-census-area-ak,1397,Alaska,02050,18216
Bristol Bay Borough,bristol-bay-borough-ak,1397,Alaska,02060,877
Denali Borough,denali-borough-ak,1397,Alaska,02068,2059
Dillingham Census Area,dillingham-census-area-ak,1397,Alaska,02070,5000
Fairbanks North Star Borough,fairbanks-north-star-borough-ak,1397,Alaska,02090,98971
Haines Borough,haines-borough-ak,1397,Alaska,02100,2474
Hoonah-Angoon Census Area,hoonah-angoon-census-area-ak,1397,Alaska,02105,2151
Juneau City and Borough,juneau-city-and-borough-ak,1397,Alaska,02110,32113
Kenai Peninsula Borough,kenai-peninsula-borough-ak,1397,Alaska,02122,58533
Ketchikan Gateway Borough,ketchikan-gateway-borough-ak,1397,Alaska,02130,13918
Kodiak Island Borough,kodiak-island-borough-ak,1397,Alaska,02150,13345
Kusilvak Census Area,kusilvak-census-area-ak,1397,Alaska,02158,8303
Lake and Peninsula Borough,lake-and-peninsula-borough-ak,1397,Alaska,02164,1587
Matanuska-Susitna Borough,matanuska-susitna-borough-ak,1397,Alaska,02170,107610
Nome Census Area,nome-census-area-ak,1397,Alaska,02180,10008
North Slope Borough,north-slope-borough-ak,1397,Alaska,02185,9872
Northwest Arctic Borough,northwest-arctic-borough-ak,1397,Alaska,02188,7671
Petersburg Borough,petersburg-borough-ak,1397,Alaska,02195,3221
Prince of Wales-Hyder Census Area,prince-of-wales-hyder-census-area-ak,1397,Alaska,02198,6422
Sitka City and Borough,sitka-city-and-borough-ak,1397,Alaska,02220,8647
Skagway Municipality,skagway-municipality-ak,1397,Alaska,02230,1148
